reporting_month,purchase_order_id,purchase_order_line_id,shipment_id,supplier_id,supplier_name,supplier_tier,category,subcategory,country,region,currency,sku,order_date,requested_delivery_date,promised_delivery_date,actual_delivery_date,order_status,line_status,ordered_quantity,received_quantity,rejected_quantity,returned_quantity,unit_of_measure,contract_unit_price,invoiced_unit_price,invoiced_quantity,invoice_number,invoice_date,invoice_due_date,payment_date,invoice_status,inspection_date,defect_code,issue_opened_at,first_supplier_response_at,issue_resolved_at,expedite_requested_flag,expedite_reason,contract_required_delivery_days,contract_min_order_quantity,required_compliance_documents,valid_compliance_documents,supplier_audit_date,supplier_audit_expiry_date,sustainability_certificate_status,payment_terms_days,account_manager,primary_contact_channel
2024-01,PO-2024-000001,PO-2024-000001-L01,SHP-202401-000001,SUP-008,Blueforge Industries,Strategic,Electrical,Connectors,Sweden,Northern Europe,SEK,SKU-ELE-066,2024-01-30,2024-03-02,2024-02-27,2024-02-27,Delivered,Fully Received,17,17,0,0,EA,136.94,136.94,17,INV-202401-000001,2024-02-29,2024-03-30,2024-04-14,Paid,2024-03-01,,,,,N,,22,8,ISO9001|COC|REACH,ISO9001|COC|REACH,2023-05-14,2026-05-13,Pending Renewal,30,Avery Singh,Portal
2024-01,PO-2024-000001,PO-2024-000001-L02,SHP-202401-000001,SUP-008,Blueforge Industries,Strategic,Electrical,Cables,Sweden,Northern Europe,SEK,SKU-ELE-079,2024-01-30,2024-03-02,2024-02-27,2024-02-27,Delivered,Fully Received,58,58,0,0,M,131.09,131.09,58,INV-202401-000001,2024-02-29,2024-03-30,2024-04-14,Paid,2024-02-28,,,,,N,,22,8,ISO9001|COC|REACH,ISO9001|COC|REACH,2023-05-14,2026-05-13,Pending Renewal,30,Avery Singh,Portal
2024-02,PO-2024-000002,PO-2024-000002-L01,SHP-202402-000002,SUP-037,Greenward Components,Standard,Electronics,Control Modules,United States,North America,USD,SKU-ELC-228,2024-02-14,2024-03-15,2024-03-02,2024-02-26,Delivered,Fully Received,8,8,0,0,EA,19.01,19.01,8,INV-202402-000002,2024-02-29,2024-04-14,,Disputed,2024-02-27,,,,,N,,17,27,ISO9001|COC|ROHS,ISO9001,2023-11-21,2025-05-24,Pending Renewal,45,Alex Morgan,Phone
2024-02,PO-2024-000002,PO-2024-000002-L02,SHP-202402-000002,SUP-037,Greenward Components,Standard,Electronics,Sensors,United States,North America,USD,SKU-ELC-241,2024-02-14,2024-03-15,2024-03-02,2024-02-26,Delivered,Fully Received,22,22,0,0,EA,17.78,17.78,22,INV-202402-000002,2024-02-29,2024-04-14,,Disputed,2024-02-28,,,,,N,,17,27,ISO9001|COC|ROHS,ISO9001,2023-11-21,2025-05-24,Pending Renewal,45,Alex Morgan,Phone
2024-02,PO-2024-000002,PO-2024-000002-L03,SHP-202402-000002,SUP-037,Greenward Components,Standard,Electronics,Sensors,United States,North America,USD,SKU-ELC-254,2024-02-14,2024-03-15,2024-03-02,2024-02-26,Delivered,Fully Received,30,30,1,0,EA,18.16,18.16,30,INV-202402-000002,2024-02-29,2024-04-14,,Disputed,2024-02-29,SPEC_MISMATCH,2024-02-29T14:00:00Z,2024-03-01T11:00:00Z,,N,,17,27,ISO9001|COC|ROHS,ISO9001,2023-11-21,2025-05-24,Pending Renewal,45,Alex Morgan,Phone
2024-03,PO-2024-000003,PO-2024-000003-L01,SHP-202403-000003,SUP-066,Kestrel Works,Watchlist,Fasteners,Bolts,Vietnam,Southeast Asia,VND,SKU-FST-390,2024-03-24,2024-04-21,2024-04-08,,Open,Open,190,0,0,0,EA,112828.91,,,,,,,,,,,,,N,,12,46,COC|REACH|SA8000,,2023-06-05,2024-03-31,Not Certified,60,Riley Chen,Email
2024-03,PO-2024-000003,PO-2024-000003-L02,SHP-202403-000003,SUP-066,Kestrel Works,Watchlist,Industrial Chemicals,Lubricants,Vietnam,Southeast Asia,VND,SKU-CHM-403,2024-03-24,2024-04-21,2024-04-08,,Open,Open,345,0,0,0,L,783931.21,,,,,,,,,,,,,N,,12,46,COC|REACH|SA8000,,2023-06-05,2024-03-31,Not Certified,60,Riley Chen,Email
2024-03,PO-2024-000003,PO-2024-000003-L03,SHP-202403-000003,SUP-066,Kestrel Works,Watchlist,Industrial Chemicals,Cleaners,Vietnam,Southeast Asia,VND,SKU-CHM-416,2024-03-24,2024-04-21,2024-04-08,,Open,Open,309,0,0,0,L,875167.94,,,,,,,,,,,,,N,,12,46,COC|REACH|SA8000,,2023-06-05,2024-03-31,Not Certified,60,Riley Chen,Email
2024-03,PO-2024-000003,PO-2024-000003-L04,SHP-202403-000003,SUP-066,Kestrel Works,Watchlist,Industrial Chemicals,Cleaners,Vietnam,Southeast Asia,VND,SKU-CHM-429,2024-03-24,2024-04-21,2024-04-08,,Open,Open,160,0,0,0,L,684763.45,,,,,,,,,,,,,N,,12,46,COC|REACH|SA8000,,2023-06-05,2024-03-31,Not Certified,60,Riley Chen,Email
2024-04,PO-2024-000004,PO-2024-000004-L01,SHP-202404-000004,SUP-023,DeltaPeak Manufacturing,Preferred,Logistics Materials,Labels,United Kingdom,Western Europe,GBP,SKU-LOG-192,2024-04-19,2024-05-18,2024-05-17,2024-05-12,Delivered,Fully Received,25,25,0,0,BOX,5.02,5.02,25,INV-202404-000004,2024-05-17,2024-07-01,,Overdue,2024-05-15,,,,,Y,Urgent demand,22,21,ISO9001|ISO14001|SA8000,ISO9001|ISO14001|SA8000,2023-02-28,2025-06-27,Certified,45,Reese Martin,Portal
2024-04,PO-2024-000004,PO-2024-000004-L02,SHP-202404-000004,SUP-023,DeltaPeak Manufacturing,Preferred,Logistics Materials,Pallets,United Kingdom,Western Europe,GBP,SKU-LOG-205,2024-04-19,2024-05-18,2024-05-17,2024-05-12,Delivered,Fully Received,136,136,0,0,EA,5.69,5.69,136,INV-202404-000004,2024-05-17,2024-07-01,,Overdue,2024-05-13,,,,,Y,Urgent demand,22,21,ISO9001|ISO14001|SA8000,ISO9001|ISO14001|SA8000,2023-02-28,2025-06-27,Certified,45,Reese Martin,Portal
2024-04,PO-2024-000004,PO-2024-000004-L03,SHP-202404-000004,SUP-023,DeltaPeak Manufacturing,Preferred,Logistics Materials,Labels,United Kingdom,Western Europe,GBP,SKU-LOG-218,2024-04-19,2024-05-18,2024-05-17,2024-05-12,Delivered,Fully Received,117,117,0,0,BOX,5.74,5.74,117,INV-202404-000004,2024-05-17,2024-07-01,,Overdue,2024-05-14,,,,,Y,Urgent demand,22,21,ISO9001|ISO14001|SA8000,ISO9001|ISO14001|SA8000,2023-02-28,2025-06-27,Certified,45,Reese Martin,Portal
2024-04,PO-2024-000004,PO-2024-000004-L04,SHP-202404-000004,SUP-023,DeltaPeak Manufacturing,Preferred,Office Consumables,Stationery,United Kingdom,Western Europe,GBP,SKU-OFF-231,2024-04-19,2024-05-18,2024-05-17,2024-05-12,Delivered,Fully Received,105,105,0,0,PACK,3.92,3.92,105,INV-202404-000004,2024-05-17,2024-07-01,,Overdue,2024-05-15,,,,,Y,Urgent demand,22,21,ISO9001|ISO14001|SA8000,ISO9001|ISO14001|SA8000,2023-02-28,2025-06-27,Certified,45,Reese Martin,Portal
